0.030,1.36
0.050,2.29
0.100,4.64
0.200,9.40
0.400,19.33
0.600,30.55
0.800,44.12
1.200,86.06
1.600,195.57
1.800,381.19
2.000,1384.34
2.200,554.32
2.400,279.22
2.600,189.68
3.000,118.41
5.000,46.79
10.000,20.79
20.000,11.32
30.000,14.77
40.000,0.72
50.000,0.64
